tool_1	tool_2	cell_line	nr_union	nr_intersection	perc_compound_val_1	count_group	perc_compound_val_2	total_n_1	total_n_2	w_val_rate	tool_lt_1	tool_lt_2	tool_combo
circtools	circtools	NCI-H23	4397	4397	0.9561507936507936	count ≥ 5	0.9561507936507936	4397	4397	0.9561507936507936	F	F	F
circtools	circtools	HLF	5469	5469	0.9561507936507936	count ≥ 5	0.9561507936507936	5469	5469	0.9561507936507937	F	F	F
circtools	circtools	SW480	4438	4438	0.9561507936507936	count ≥ 5	0.9561507936507936	4438	4438	0.9561507936507936	F	F	F
circtools	CIRCexplorer3	NCI-H23	5768	3376	0.9561507936507936	count ≥ 5	0.947398190045249	4397	4747	0.9516069824833046	F	A	AF
circtools	CIRCexplorer3	HLF	6925	4074	0.9561507936507936	count ≥ 5	0.947398190045249	5469	5530	0.9517502210588614	F	A	AF
circtools	CIRCexplorer3	SW480	5871	3491	0.9561507936507936	count ≥ 5	0.947398190045249	4438	4924	0.9515473093361492	F	A	AF
circtools	CirComPara2	NCI-H23	5720	3589	0.9561507936507936	count ≥ 5	0.9625	4397	4912	0.9595010247805931	F	B	BF
circtools	CirComPara2	HLF	6671	4378	0.9561507936507936	count ≥ 5	0.9625	5469	5580	0.9593572893905503	F	B	BF
circtools	CirComPara2	SW480	5872	3767	0.9561507936507936	count ≥ 5	0.9625	4438	5201	0.9595766907586081	F	B	BF
circtools	circRNA_finder	NCI-H23	4521	2838	0.9561507936507936	count ≥ 5	0.9368589743589744	4397	2962	0.9483858298320182	F	C	CF
circtools	circRNA_finder	HLF	5597	3656	0.9561507936507936	count ≥ 5	0.9368589743589744	5469	3784	0.9482614340700908	F	C	CF
circtools	circRNA_finder	SW480	4563	2876	0.9561507936507936	count ≥ 5	0.9368589743589744	4438	3001	0.9483681952242914	F	C	CF
circtools	circseq_cup	NCI-H23	6063	1118	0.9561507936507936	count ≥ 5	0.7788351732013704	4397	2784	0.8874073474272601	F	D	DF
circtools	circseq_cup	HLF	7295	1064	0.9561507936507936	count ≥ 5	0.7788351732013704	5469	2890	0.8948465535384795	F	D	DF
circtools	circseq_cup	SW480	6089	1095	0.9561507936507936	count ≥ 5	0.7788351732013704	4438	2746	0.8883739710235502	F	D	DF
circtools	CIRI2	NCI-H23	6563	4042	0.9561507936507936	count ≥ 5	0.9413793103448276	4397	6208	0.9475037999342978	F	G	FG
