tool	count_group	nr_qPCR_total	nr_qPCR_fail	nr_qPCR_val	nr_RR_total	nr_RR_fail	nr_RR_val	nr_amp_total	nr_amp_fail	nr_amp_val	nr_compound_total	nr_compound_fail	nr_compound_val	perc_qPCR_val	perc_RR_val	perc_amp_val	perc_compound_val
CIRCexplorer3	count < 5	20	2	18	14	2	12	15	4	11	15	5	10	0.9	0.8571428571428571	0.7333333333333333	0.6666666666666666
CIRCexplorer3	count ≥ 5	80	0	80	78	3	75	69	1	68	69	5	64	1	0.9615384615384616	0.9855072463768116	0.927536231884058
CIRI2	count < 5	20	2	18	12	3	9	13	3	10	13	6	7	0.9	0.75	0.7692307692307693	0.5384615384615384
CIRI2	count ≥ 5	80	2	78	74	2	72	58	2	56	58	5	53	0.975	0.972972972972973	0.9655172413793104	0.9137931034482759
CIRIquant	count < 5	20	2	18	10	2	8	15	7	8	15	11	4	0.9	0.8	0.5333333333333333	0.26666666666666666
CIRIquant	count ≥ 5	80	2	78	79	3	76	59	0	59	59	1	58	0.975	0.9620253164556962	1	0.9830508474576272
CirComPara2	count < 5	20	2	18	13	3	10	11	3	8	11	4	7	0.9	0.7692307692307693	0.7272727272727273	0.6363636363636364
CirComPara2	count ≥ 5	80	1	79	80	3	77	54	0	54	54	1	53	0.9875	0.9625	1	0.9814814814814815
CircSplice	count < 5	20	0	20	14	1	13	14	5	9	14	6	8	1	0.9285714285714286	0.6428571428571429	0.5714285714285714
CircSplice	count ≥ 5	80	1	79	77	6	71	68	5	63	68	8	60	0.9875	0.922077922077922	0.9264705882352942	0.8823529411764706
KNIFE	count < 5	20	0	20	17	0	17	17	1	16	17	4	13	1	1	0.9411764705882353	0.7647058823529411
KNIFE	count ≥ 5	80	1	79	77	2	75	63	3	60	63	6	57	0.9875	0.974025974025974	0.9523809523809523	0.9047619047619048
NCLcomparator	count < 5	20	0	20	16	0	16	14	2	12	14	4	10	1	1	0.8571428571428571	0.7142857142857143
NCLcomparator	count ≥ 5	80	1	79	79	1	78	66	3	63	66	3	63	0.9875	0.9873417721518988	0.9545454545454546	0.9545454545454546
NCLscan	count < 5	20	1	19	15	2	13	13	1	12	13	3	10	0.95	0.8666666666666667	0.9230769230769231	0.7692307692307693
NCLscan	count ≥ 5	80	0	80	79	0	79	58	3	55	58	4	54	1	1	0.9482758620689655	0.9310344827586207
PFv2	count < 5	20	3	17	17	3	14	18	7	11	18	8	10	0.85	0.8235294117647058	0.6111111111111112	0.5555555555555556
PFv2	count ≥ 5	80	8	72	77	20	57	70	49	21	70	51	19	0.9	0.7402597402597403	0.3	0.2714285714285714
Sailfish-cir	no_counts	100	3	97	92	5	87	65	11	54	65	14	51	0.97	0.9456521739130435	0.8307692307692308	0.7846153846153846
circRNA_finder	count ≥ 5	80	1	79	79	5	74	64	0	64	64	3	61	0.9875	0.9367088607594937	1	0.953125
circseq_cup	count < 5	20	4	16	14	7	7	17	14	3	17	16	1	0.8	0.5	0.17647058823529413	0.058823529411764705
circseq_cup	count ≥ 5	80	0	80	71	5	66	74	12	62	74	20	54	1	0.9295774647887324	0.8378378378378378	0.7297297297297297
circtools	count < 5	20	0	20	18	0	18	17	1	16	17	2	15	1	1	0.9411764705882353	0.8823529411764706
circtools	count ≥ 5	80	0	80	80	1	79	63	2	61	63	3	60	1	0.9875	0.9682539682539683	0.9523809523809523
ecircscreen	count < 5	20	0	20	17	1	16	15	2	13	15	3	12	1	0.9411764705882353	0.8666666666666667	0.8
ecircscreen	count ≥ 5	80	0	80	79	3	76	60	1	59	60	2	58	1	0.9620253164556962	0.9833333333333333	0.9666666666666667
find_circ	count < 5	20	1	19	13	1	12	20	13	7	20	14	6	0.95	0.9230769230769231	0.35	0.3
find_circ	count ≥ 5	80	1	79	78	2	76	67	3	64	67	4	63	0.9875	0.9743589743589743	0.9552238805970149	0.9402985074626866
segemehl	count ≥ 5	80	0	80	79	1	78	64	6	58	64	6	58	1	0.9873417721518988	0.90625	0.90625
