tool	count_group_median	nr_detected	nr_expected	sensitivity	perc_compound_val	total_n	extrapolated_sensitivity
CIRCexplorer3	count < 5	131	182	0.7197802197802198	0.6666666666666666	56399	37599.33333333333
CIRCexplorer3	count ≥ 5	611	775	0.7883870967741935	0.9264705882352942	15201	14083.279411764706
CirComPara2	count < 5	126	182	0.6923076923076923	0.6363636363636364	59675	37975
CirComPara2	count ≥ 5	667	775	0.8606451612903225	0.9814814814814815	15693	15402.388888888889
circRNA_finder	count < 5	1	182	0.005494505494505495	NA	NA	NA
circRNA_finder	count ≥ 5	553	775	0.7135483870967742	0.953125	9748	9291.0625
circseq_cup	count < 5	34	182	0.18681318681318682	0.058823529411764705	171530	10090
circseq_cup	count ≥ 5	279	775	0.36	0.7297297297297297	8420	6144.324324324324
CircSplice	count < 5	135	182	0.7417582417582418	0.5714285714285714	105378	60216
CircSplice	count ≥ 5	670	775	0.864516129032258	0.8823529411764706	10532	9292.941176470587
circtools	count < 5	128	182	0.7032967032967034	0.8823529411764706	48027	42376.76470588235
circtools	count ≥ 5	675	775	0.8709677419354839	0.9523809523809523	14304	13622.857142857141
CIRI2	count < 5	159	182	0.8736263736263736	0.5384615384615384	130960	70516.92307692308
CIRI2	count ≥ 5	673	775	0.8683870967741936	0.9137931034482759	19960	18239.310344827587
CIRIquant	count < 5	138	182	0.7582417582417582	0.26666666666666666	106963	28523.466666666667
CIRIquant	count ≥ 5	668	775	0.8619354838709677	0.9830508474576272	13861	13626.06779661017
ecircscreen	count < 5	99	182	0.5439560439560439	0.8	34645	27716
ecircscreen	count ≥ 5	498	775	0.6425806451612903	0.9666666666666667	6187	5980.766666666666
find_circ	count < 5	138	182	0.7582417582417582	0.3	103025	30907.5
find_circ	count ≥ 5	623	775	0.8038709677419354	0.9402985074626866	9584	9011.820895522389
KNIFE	count < 5	41	182	0.22527472527472528	0.7647058823529411	16101	12312.529411764704
KNIFE	count ≥ 5	375	775	0.4838709677419355	0.9032258064516129	6187	5588.258064516129
NCLcomparator	count < 5	68	182	0.37362637362637363	0.7142857142857143	36586	26132.857142857145
NCLcomparator	count ≥ 5	362	775	0.4670967741935484	0.9393939393939394	5596	5256.848484848485
NCLscan	count < 5	68	182	0.37362637362637363	0.7692307692307693	37013	28471.538461538465
NCLscan	count ≥ 5	369	775	0.4761290322580645	0.9310344827586207	5730	5334.827586206897
PFv2	count < 5	59	182	0.3241758241758242	0.5555555555555556	38899	21610.555555555555
PFv2	count ≥ 5	498	775	0.6425806451612903	0.2714285714285714	2838	770.3142857142857
segemehl	count < 5	1	182	0.005494505494505495	NA	NA	NA
segemehl	count ≥ 5	230	775	0.2967741935483871	0.90625	2859	2590.96875
Sailfish-cir	count < 5	113	182	0.6208791208791209	0.7846153846153846	45198	35463.04615384615
Sailfish-cir	count ≥ 5	635	775	0.8193548387096774	0.7846153846153846	45198	35463.04615384615
