tool_1	tool_2	cell_line	nr_union	nr_intersection	perc_compound_val_1	count_group	perc_compound_val_2	total_n_1	total_n_2	w_val_rate	tool_lt_1	tool_lt_2	tool_combo	total_cell_line	perc_increase_t1
circtools	circtools	NCI-H23	4397	4397	0.9523809523809524	count ≥ 5	0.9523809523809524	4397	4397	0.9523809523809524	F	F	F	9964	0
circtools	circtools	HLF	5469	5469	0.9523809523809524	count ≥ 5	0.9523809523809524	5469	5469	0.9523809523809523	F	F	F	11465	0
circtools	circtools	SW480	4438	4438	0.9523809523809524	count ≥ 5	0.9523809523809524	4438	4438	0.9523809523809524	F	F	F	9691	0
circtools	CIRCexplorer3	NCI-H23	5768	3376	0.9523809523809524	count ≥ 5	0.927536231884058	4397	4747	0.9394831080897496	F	A	AF	9964	0.3118035023879918
circtools	CIRCexplorer3	HLF	6925	4074	0.9523809523809524	count ≥ 5	0.927536231884058	5469	5530	0.9398896982353186	F	A	AF	11465	0.26622782958493324
circtools	CIRCexplorer3	SW480	5871	3491	0.9523809523809524	count ≥ 5	0.927536231884058	4438	4924	0.9393137227583602	F	A	AF	9691	0.3228931951329428
circtools	CirComPara2	NCI-H23	5720	3589	0.9523809523809524	count ≥ 5	0.9814814814814816	4397	4912	0.9677361783925326	F	B	BF	9964	0.300886968387537
circtools	CirComPara2	HLF	6671	4378	0.9523809523809524	count ≥ 5	0.9814814814814816	5469	5580	0.9670773911881705	F	B	BF	11465	0.2197842384348144
circtools	CirComPara2	SW480	5872	3767	0.9523809523809524	count ≥ 5	0.9814814814814816	4438	5201	0.9680829807917682	F	B	BF	9691	0.3231185218566922
circtools	circRNA_finder	NCI-H23	4521	2838	0.9523809523809524	count ≥ 5	0.953125	4397	2962	0.952680431800387	F	C	CF	9964	0.02820104616784171
circtools	circRNA_finder	HLF	5597	3656	0.9523809523809524	count ≥ 5	0.953125	5469	3784	0.9526852295008568	F	C	CF	11465	0.02340464435911501
circtools	circRNA_finder	SW480	4563	2876	0.9523809523809524	count ≥ 5	0.953125	4438	3001	0.9526811119326075	F	C	CF	9691	0.028165840468679586
circtools	circseq_cup	NCI-H23	6063	1118	0.9523809523809524	count ≥ 5	0.7297297297297297	4397	2784	0.8660613584718863	F	D	DF	9964	0.3788947009324539
circtools	circseq_cup	HLF	7295	1064	0.9523809523809524	count ≥ 5	0.7297297297297297	5469	2890	0.8754026016856499	F	D	DF	11465	0.3338818796855001
circtools	circseq_cup	SW480	6089	1095	0.9523809523809524	count ≥ 5	0.7297297297297297	4438	2746	0.8672751259054154	F	D	DF	9691	0.37201442091031994
circtools	CIRI2	NCI-H23	6563	4042	0.9523809523809524	count ≥ 5	0.913793103448276	4397	6208	0.9297922332697731	F	G	FG	9964	0.4926085967705254
circtools	CIRI2	HLF	7820	5067	0.9523809523809524	count ≥ 5	0.913793103448276	5469	7418	0.9301690595135206	F	G	FG	11465	0.4298774913146828
circtools	CIRI2	SW480	6655	4117	0.9523809523809524	count ≥ 5	0.913793103448276	4438	6334	0.9296910679454186	F	G	FG	9691	0.4995493465525011
circtools	CIRIquant	NCI-H23	5393	3298	0.9523809523809524	count ≥ 5	0.9830508474576272	4397	4294	0.9675341602349672	F	H	FH	9964	0.22651808050943825
circtools	CIRIquant	HLF	6535	4034	0.9523809523809524	count ≥ 5	0.9830508474576272	5469	5100	0.9671805043623168	F	H	FH	11465	0.1949168038032547
circtools	CIRIquant	SW480	5519	3386	0.9523809523809524	count ≥ 5	0.9830508474576272	4438	4467	0.9677658396698356	F	H	FH	9691	0.24357818837314105
circtools	ecircscreen	NCI-H23	4569	1737	0.9523809523809524	count ≥ 5	0.9666666666666668	4397	1909	0.9567056318245662	F	I	FI	9964	0.03911758016829656
circtools	ecircscreen	HLF	5644	2135	0.9523809523809524	count ≥ 5	0.9666666666666668	5469	2310	0.9566231428938718	F	I	FI	11465	0.031998537209727555
circtools	ecircscreen	SW480	4613	1793	0.9523809523809524	count ≥ 5	0.9666666666666668	4438	1968	0.9567696950775316	F	I	FI	9691	0.03943217665615142
circtools	find_circ	NCI-H23	4885	2555	0.9523809523809524	count ≥ 5	0.9402985074626866	4397	3043	0.9474391674500005	F	J	FJ	9964	0.1109847623379577
circtools	find_circ	HLF	5943	3095	0.9523809523809524	count ≥ 5	0.9402985074626866	5469	3569	0.9476097368561359	F	J	FJ	11465	0.08667032364234778
circtools	find_circ	SW480	4863	2547	0.9523809523809524	count ≥ 5	0.9402985074626866	4438	2972	0.9475349299387006	F	J	FJ	9691	0.0957638575935106
circtools	KNIFE	NCI-H23	4553	1723	0.9523809523809524	count ≥ 5	0.9047619047619048	4397	1879	0.9381240705332484	F	K	FK	9964	0.03547873550147828
circtools	KNIFE	HLF	5622	2130	0.9523809523809524	count ≥ 5	0.9047619047619048	5469	2283	0.9383569217160548	F	K	FK	11465	0.027975863960504662
circtools	KNIFE	SW480	4629	1834	0.9523809523809524	count ≥ 5	0.9047619047619048	4438	2025	0.9374608577765007	F	K	FK	9691	0.043037404236142406
circtools	NCLscan	NCI-H23	4489	1649	0.9523809523809524	count ≥ 5	0.9310344827586208	4397	1741	0.9463261782505388	F	N	FN	9964	0.02092335683420514
circtools	NCLscan	HLF	5569	2097	0.9523809523809524	count ≥ 5	0.9310344827586208	5469	2197	0.9462632647002501	F	N	FN	11465	0.0182848784055586
circtools	NCLscan	SW480	4530	1700	0.9523809523809524	count ≥ 5	0.9310344827586208	4438	1792	0.946240844264866	F	N	FN	9691	0.020730058584948176
circtools	NCLcomparator	NCI-H23	4486	1603	0.9523809523809524	count ≥ 5	0.9545454545454546	4397	1692	0.9529824202184196	F	L	FL	9964	0.020241073459176712
circtools	NCLcomparator	HLF	5567	2048	0.9523809523809524	count ≥ 5	0.9545454545454546	5469	2146	0.9529909355254069	F	L	FL	11465	0.01791918083744743
circtools	NCLcomparator	SW480	4527	1669	0.9523809523809524	count ≥ 5	0.9545454545454546	4438	1758	0.9529950896961872	F	L	FL	9691	0.020054078413699866
circtools	PFv2	NCI-H23	5154	201	0.9523809523809524	count ≥ 5	0.2714285714285714	4397	958	0.8305597794673424	F	M	FM	9964	0.17216283829884013
circtools	PFv2	HLF	6232	265	0.9523809523809524	count ≥ 5	0.2714285714285714	5469	1028	0.8446359858396182	F	M	FM	11465	0.13951362223441213
circtools	PFv2	SW480	5040	250	0.9523809523809524	count ≥ 5	0.2714285714285714	4438	852	0.8427077144657485	F	M	FM	9691	0.13564668769716087
circtools	segemehl	NCI-H23	4746	799	0.9523809523809524	count ≥ 5	0.90625	4397	1148	0.9428303061531195	F	O	FO	9964	0.07937229929497384
circtools	segemehl	HLF	5861	980	0.9523809523809524	count ≥ 5	0.90625	5469	1372	0.9431291373441644	F	O	FO	11465	0.07167672334978972
circtools	segemehl	SW480	4508	269	0.9523809523809524	count ≥ 5	0.90625	4438	339	0.949107267462145	F	O	FO	9691	0.015772870662460567
circtools	CircSplice	NCI-H23	4553	3072	0.9523809523809524	count ≥ 5	0.8823529411764706	4397	3228	0.9227349956375993	F	E	EF	9964	0.03547873550147828
circtools	CircSplice	HLF	5639	3926	0.9523809523809524	count ≥ 5	0.8823529411764706	5469	4096	0.9223930032023265	F	E	EF	11465	0.031084293289449626
circtools	CircSplice	SW480	4590	3056	0.9523809523809524	count ≥ 5	0.8823529411764706	4438	3208	0.9229995948156925	F	E	EF	9691	0.034249662009914375
