tool_original	nr_detected	TP	sensitivity	precision	F1	AUC	dataset	tool
CIRI	12589	12561	0.8551000000000001	0.9978	0.92	0.85	pos	CIRI2
CF	9460	9383	0.6388	0.9919	0.78	0.64	pos	circRNA_finder
DCC	8558	8512	0.5795	0.9945999999999999	0.73	0.58	pos	circtools
FC	9969	9919	0.6753	0.995	0.8	0.67	pos	find_circ
SG	13470	12766	0.8691	0.9477	0.91	0.84	pos	segemehl
CE	11465	11431	0.7781999999999999	0.997	0.87	0.78	pos	CIRCexplorer3
MS	9072	9032	0.6149	0.9956	0.76	0.61	pos	MS
UB	9265	8816	0.6002000000000001	0.9515	0.74	0.59	pos	UB
KNIFE	13577	13531	0.9212	0.9965999999999999	0.96	0.92	pos	KNIFE
PF	12341	12303	0.8376	0.9969	0.91	0.84	pos	PFv2
NCLS	7744	7740	0.5268999999999999	0.9995	0.69	0.53	pos	NCLscan
CIRI	12714	12532	0.8532	0.9856999999999999	0.91	0.85	mixed	CIRI2
CF	9513	9383	0.6388	0.9863	0.78	0.63	mixed	circRNA_finder
DCC	8562	8512	0.5795	0.9942	0.73	0.58	mixed	circtools
FC	10679	9919	0.6753	0.9288	0.78	0.58	mixed	find_circ
SG	14158	12340	0.8401000000000001	0.8715999999999999	0.86	0.8	mixed	segemehl
CE	11467	11431	0.7781999999999999	0.9969	0.87	0.78	mixed	CIRCexplorer3
MS	9075	9028	0.6146	0.9948	0.76	0.61	mixed	MS
UB	9178	8161	0.5556	0.8892	0.68	0.5	mixed	UB
KNIFE	13923	13404	0.9125	0.9627	0.94	0.87	mixed	KNIFE
PF	12357	12298	0.8371999999999999	0.9952	0.91	0.83	mixed	PFv2
NCLS	7747	7743	0.5271	0.9995	0.69	0.53	mixed	NCLscan
