chr	strand	BSJ_count	cell_line	tool	circ_id	circ_id_strand	start	end	circ_ID	design	primer_found	total_primer_pairs	passed	failed_spec	failed_SNP	failed_sec_str_temp	failed_sec_str_amp
chr18	+	1	SW480	CIRCexplorer3	chr18:21791373-21847125	chr18:21791373-21847125/+	21791373	21847125	circ00000	1	1	20	20	0	0	0	0
chr9	-	2	NCI-H23	CIRCexplorer3	chr9:125559632-125672643	chr9:125559632-125672643/-	125559632	125672643	circ00001	1	1	20	20	0	0	0	0
chr3	-	2	SW480	CIRCexplorer3	chr3:13375503-13379721	chr3:13375503-13379721/-	13375503	13379721	circ00002	1	1	14	12	2	0	0	0
chr13	+	2	NCI-H23	CIRCexplorer3	chr13:113610995-113636700	chr13:113610995-113636700/+	113610995	113636700	circ00003	1	1	6	6	0	0	0	0
chr15	+	1	HLF	CIRCexplorer3	chr15:65551675-65572366	chr15:65551675-65572366/+	65551675	65572366	circ00004	1	1	20	20	0	0	0	0
chr2	-	1	HLF	CIRCexplorer3	chr2:53892807-53893799	chr2:53892807-53893799/-	53892807	53893799	circ00005	1	1	7	7	0	0	0	0
chr6	-	1	NCI-H23	CIRCexplorer3	chr6:89732556-89743714	chr6:89732556-89743714/-	89732556	89743714	circ00006	1	1	20	20	0	0	0	0
chr6	+	3	HLF	CIRCexplorer3	chr6:63691736-63703671	chr6:63691736-63703671/+	63691736	63703671	circ00007	1	1	20	20	0	0	0	0
chr7	-	2	SW480	CIRCexplorer3	chr7:24815058-24849176	chr7:24815058-24849176/-	24815058	24849176	circ00008	1	1	7	7	0	0	0	0
chr4	+	1	HLF	CIRCexplorer3	chr4:139351190-139360628	chr4:139351190-139360628/+	139351190	139360628	circ00009	1	1	20	20	0	0	0	0
chr20	+	1	SW480	CIRCexplorer3	chr20:62256056-62281879	chr20:62256056-62281879/+	62256056	62281879	circ00010	1	1	20	20	0	0	0	0
chr15	-	1	HLF	CIRCexplorer3	chr15:25701915-25736141	chr15:25701915-25736141/-	25701915	25736141	circ00011	1	1	19	13	6	0	0	0
