chr	start	end	strand	BSJ_count	BSJ_count_int	Cq	Cq_mean_PCR	circ_id
chr4	1900625	1901251	+	1	count1	27.51	27.475	chr4:1900625-1901251/+
chr5	64785480	64804386	+	1	count1	32.55	34.04	chr5:64785480-64804386/+
chr2	238268055	238273191	-	1	count1	35.86	36.685	chr2:238268055-238273191/-
chr7	73459535	73478569	-	1	count1	27.43	27.525	chr7:73459535-73478569/-
chr2	37049652	37068930	-	1	count1	30.85	31.69	chr2:37049652-37068930/-
chr12	71880468	71885021	+	1	count1	40	36.71	chr12:71880468-71885021/+
chr1	39809053	39813006	-	1	count1	33.9	33.83	chr1:39809053-39813006/-
chr15	75601137	75621056	-	1	count1	33.64	36.82	chr15:75601137-75621056/-
chr17	44195418	44198130	-	1	count1	43.48	41.739999999999995	chr17:44195418-44198130/-
chr11	64193077	64197595	+	1	count1	28.29	28.33	chr11:64193077-64197595/+
chr11	94429910	94459581	-	1	count1	29.32	28.94	chr11:94429910-94459581/-
chr8	43059091	43084881	+	1	count1	32.77	32.39	chr8:43059091-43084881/+
chr12	52056493	52057530	+	1	count1	44	42	chr12:52056493-52057530/+
chr4	25259036	25263849	+	1	count1	32.27	31.735	chr4:25259036-25263849/+
chr18	732833	746051	-	1	count1	40	36.78	chr18:732833-746051/-
chr7	5905093	5911922	+	1	count1	29.12	29.520000000000003	chr7:5905093-5911922/+
chr8	81823791	81839751	-	1	count1	37.09	38.335	chr8:81823791-81839751/-
chr7	138554697	138573642	+	1	count1	29.88	30.275	chr7:138554697-138573642/+
chr1	173946475	173947582	-	1	count1	31.01	31.96	chr1:173946475-173947582/-
chr1	20849414	20865262	-	1	count1	29.72	29.725	chr1:20849414-20865262/-
chr18	22936753	23016924	+	1	count1	32.72	34.085	chr18:22936753-23016924/+
chr9	115076031	115076575	-	1	count1	42.82	39.28	chr9:115076031-115076575/-
chr15	90939730	90943082	+	1	count1	40	40	chr15:90939730-90943082/+
chr3	56660730	56671692	-	1	count1	25.09	25.075	chr3:56660730-56671692/-
chr7	73470344	73510852	-	1	count1	31.73	31.94	chr7:73470344-73510852/-
chr18	42029324	42049605	+	1	count1	35.47	37.735	chr18:42029324-42049605/+
chr19	11105219	11107514	+	1	count1	29.91	29.9	chr19:11105219-11107514/+
chr20	62124616	62131506	+	1	count1	29.76	29.96	chr20:62124616-62131506/+
chr11	108325309	108329238	+	1	count1	36.81	34.46	chr11:108325309-108329238/+
chrX	134377571	134393952	+	1	count1	40	40	chrX:134377571-134393952/+
chr6	42964789	42969987	-	1	count1	40	40	chr6:42964789-42969987/-
chr16	89635907	89636683	+	1	count1	37.55	39.405	chr16:89635907-89636683/+
chr9	3256990	3288250	-	1	count1	34	33.985	chr9:3256990-3288250/-
chr11	116873480	116877042	-	1	count1	40	36.305	chr11:116873480-116877042/-
chr1	11157151	11167517	-	1	count1	42.32	40.2	chr1:11157151-11167517/-
chr16	88577109	88577726	+	1	count1	31.6	31.07	chr16:88577109-88577726/+
chr14	74503218	74503386	-	1	count1	40.79	38.175	chr14:74503218-74503386/-
chr8	42943312	42957156	+	1	count1	33.36	36.68	chr8:42943312-42957156/+
chr11	43798319	43840064	+	1	count1	40	40	chr11:43798319-43840064/+
chr13	28256291	28280541	+	1	count1	30.3	30.44	chr13:28256291-28280541/+
chr12	42393569	42398994	+	1	count1	29.01	29.26	chr12:42393569-42398994/+
chr22	29636750	29658264	+	1	count1	32.94	33.795	chr22:29636750-29658264/+
chr12	830002	883059	+	1	count1	34.36	33.57	chr12:830002-883059/+
chr7	100408538	100416456	-	1	count1	31.76	32.055	chr7:100408538-100416456/-
chr1	39309569	39319747	+	1	count1	40	40	chr1:39309569-39319747/+
chr12	123315372	123348133	-	1	count1	32.29	32.25	chr12:123315372-123348133/-
chr4	53383772	53453133	+	1	count1	29.6	29.36	chr4:53383772-53453133/+
chr14	102208602	102209862	+	1	count1	27.99	28.04	chr14:102208602-102209862/+
chr3	142329433	142370620	-	1	count1	33.98	36.989999999999995	chr3:142329433-142370620/-
chr2	96923489	96951484	-	1	count1	28	28	chr2:96923489-96951484/-
chr11	3691346	3706627	-	1	count1	31.47	32.155	chr11:3691346-3706627/-
chr17	61693429	61744591	-	2	count2	30.82	30.905	chr17:61693429-61744591/-
chr22	39415005	39428183	+	2	count2	39.63	36.09	chr22:39415005-39428183/+
chr2	172491023	172501901	+	2	count2	31.15	31.16	chr2:172491023-172501901/+
chr6	57193841	57196606	-	2	count2	29.22	29.119999999999997	chr6:57193841-57196606/-
chr2	159347485	159350357	-	2	count2	32.39	32.75	chr2:159347485-159350357/-
chr10	121910905	121924329	-	3	count3	31.38	30.76	chr10:121910905-121924329/-
chr19	32915336	32918339	-	3	count3	29.27	29.615	chr19:32915336-32918339/-
chrX	18948743	18954412	-	3	count3	40	40	chrX:18948743-18954412/-
chr8	142300485	142345892	-	3	count3	33.32	36.66	chr8:142300485-142345892/-
chr2	135313488	135350215	-	3	count3	33.84	33.395	chr2:135313488-135350215/-
chr10	49500537	49506012	-	4	(4-6]	30.12	29.985	chr10:49500537-49506012/-
